127.0.0.1, 2013-05-25 15:13:30, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.001141
127.0.0.1, 2013-05-25 15:13:30, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000520
127.0.0.1, 2013-05-25 15:13:30, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000971
127.0.0.1, 2013-05-25 15:13:30, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.001823
127.0.0.1, 2013-05-25 15:13:30, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.001641
127.0.0.1, 2013-05-25 15:13:30, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.001012
127.0.0.1, 2013-05-25 15:13:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000263
127.0.0.1, 2013-05-25 15:13:38, GET, /admin/default/peek/welcome/languages/default.py, HTTP/1.1, 200, 0.041826
127.0.0.1, 2013-05-25 15:13:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000291
127.0.0.1, 2013-05-25 15:13:41, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.095243
127.0.0.1, 2013-05-25 15:13:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000268
127.0.0.1, 2013-05-25 15:13:45, GET, /welcome/static/404.html, HTTP/1.1, 200, 0.000534
127.0.0.1, 2013-05-25 15:13:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000268
127.0.0.1, 2013-05-25 15:13:47, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.099679
127.0.0.1, 2013-05-25 15:13:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000395
127.0.0.1, 2013-05-25 15:13:49, GET, /admin/default/edit/welcome/static/404.html, HTTP/1.1, 200, 0.047256
127.0.0.1, 2013-05-25 15:13:49, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.002215
127.0.0.1, 2013-05-25 15:13:49, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.000958
127.0.0.1, 2013-05-25 15:13:49, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.001782
127.0.0.1, 2013-05-25 15:13:49, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.000876
127.0.0.1, 2013-05-25 15:13:49, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.001201
127.0.0.1, 2013-05-25 15:13:49, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.001268
127.0.0.1, 2013-05-25 15:13:49, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000385
127.0.0.1, 2013-05-25 15:13:49, GET, /admin/static/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.002725
127.0.0.1, 2013-05-25 15:13:49, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001887
127.0.0.1, 2013-05-25 15:13:49, GET, /admin/static/codemirror/lib/util/dialog.css, HTTP/1.1, 200, 0.001535
127.0.0.1, 2013-05-25 15:13:49, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.002100
127.0.0.1, 2013-05-25 15:13:49, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000614
127.0.0.1, 2013-05-25 15:13:49, GET, /admin/static/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.002647
127.0.0.1, 2013-05-25 15:13:49, GET, /admin/static/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.002328
127.0.0.1, 2013-05-25 15:13:49, GET, /admin/static/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.001664
127.0.0.1, 2013-05-25 15:13:49, GET, /admin/static/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.003132
127.0.0.1, 2013-05-25 15:13:49, GET, /admin/static/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.001378
127.0.0.1, 2013-05-25 15:13:49, GET, /admin/static/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.002015
127.0.0.1, 2013-05-25 15:13:49, GET, /admin/static/codemirror/mode/clike/clike.js, HTTP/1.1, 200, 0.003591
127.0.0.1, 2013-05-25 15:13:49, GET, /admin/static/codemirror/lib/util/search.js, HTTP/1.1, 200, 0.000544
127.0.0.1, 2013-05-25 15:13:49, GET, /admin/static/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.001667
127.0.0.1, 2013-05-25 15:13:49, GET, /admin/static/codemirror/lib/util/searchcursor.js, HTTP/1.1, 200, 0.002241
127.0.0.1, 2013-05-25 15:13:49, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 200, 0.000910
127.0.0.1, 2013-05-25 15:13:49, GET, /admin/static/codemirror/emmet.min.js, HTTP/1.1, 200, 0.002546
127.0.0.1, 2013-05-25 15:13:49, GET, /admin/static/codemirror/lib/util/dialog.js, HTTP/1.1, 200, 0.002178
127.0.0.1, 2013-05-25 15:13:49, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000853
127.0.0.1, 2013-05-25 15:13:49, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.000530
127.0.0.1, 2013-05-25 15:13:49, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.041129
127.0.0.1, 2013-05-25 15:13:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000409
127.0.0.1, 2013-05-25 15:13:52, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.155084
127.0.0.1, 2013-05-25 15:13:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000266
127.0.0.1, 2013-05-25 15:14:00, GET, /admin/default/index, HTTP/1.1, 303, 0.005291
127.0.0.1, 2013-05-25 15:14:00, GET, /admin/default/site, HTTP/1.1, 200, 0.055335
127.0.0.1, 2013-05-25 15:14:00, GET, /admin/static/images/questions.png, HTTP/1.1, 304, 0.001004
127.0.0.1, 2013-05-25 15:14:00, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.003936
127.0.0.1, 2013-05-25 15:14:00, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.035485
127.0.0.1, 2013-05-25 15:14:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000415
127.0.0.1, 2013-05-25 15:14:01, POST, /admin/default/check_version, HTTP/1.1, 200, 0.445116
127.0.0.1, 2013-05-25 15:14:01, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.455719
127.0.0.1, 2013-05-25 15:14:06, GET, /examples/default/index, HTTP/1.1, 200, 0.212783
127.0.0.1, 2013-05-25 15:14:06, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.001421
127.0.0.1, 2013-05-25 15:14:06, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.002828
127.0.0.1, 2013-05-25 15:14:06, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.001699
127.0.0.1, 2013-05-25 15:14:06, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.001309
127.0.0.1, 2013-05-25 15:14:06, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.003383
127.0.0.1, 2013-05-25 15:14:06, GET, /examples/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.005145
127.0.0.1, 2013-05-25 15:14:06, GET, /examples/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000725
127.0.0.1, 2013-05-25 15:14:06, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000836
